country,region,api_url
关岛,关岛,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/3792
科威特,科威特,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1009
蒲隆地,布琼布拉省,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/3444
蒲隆地,基特加省,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/3448
巴巴多斯,圣雅梅斯区,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1930
巴巴多斯,基督城区,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1927
巴巴多斯,圣迈克尔,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1934
巴巴多斯,圣彼得区,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1935
巴巴多斯,圣约瑟夫区,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1932
巴巴多斯,圣约翰区,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1931
巴巴多斯,圣露西,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1933
巴巴多斯,圣菲利普,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1936
巴巴多斯,圣安德鲁区,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1928
巴巴多斯,圣乔治区,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1929
安道尔,卡尼略区,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/3105
安道尔,恩坎普区,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/3106
安道尔,安道尔城区,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/3104
安道尔,拉安道尔区,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/3108
安道尔,奥尔迪诺区,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/3109
安道尔,桑特朱莉娅德洛里亚区,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/3110
马拉维,南部,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/4246
马拉维,中央,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/4245
马拉维,北部,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/4244
阿曼,马斯喀特,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/2853
阿曼,苏发,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/2855
阿曼,东部,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/2851
阿曼,内地,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/2847
阿曼,巴提奈,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/2848
阿曼,布瑞弥,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/2849
阿曼,穆桑达姆,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/2854
阿曼,中部,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/2850
阿曼,阿兹塞拉莱,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/2852
毛里求斯,毛里求斯岛,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/183/
毛里求斯,罗德里格斯,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/187/
毛里求斯,路易港区,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/185/
毛里求斯,朗帕河,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/186/
毛里求斯,莫卡,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/182/
南非,西开普,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1299
南非,卡哇祖拉—纳塔尔,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1294
南非,豪登,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1293
南非,东开普省,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1291
南非,普马兰加,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1296
南非,林波波,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1295
南非,自由州,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1292
南非,北西,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1298
南非,北开普,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/1297
阿塞拜疆,阿布歇隆,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/2567
阿塞拜疆,萨基—扎卡塔拉,https://www.agoda.com/api/zh-cn/GeoApi/NeighborHoods/8/2586
